Organizacija racunara,Vezbe,Stambolovic Bogdana,1s1,Petak,17:15-20,Raf3
Praktikum iz arhitekture racunara i operativnih sistema,Praktikum,Stambolovic Bogdana,1s1,Petak,15:15-17,Raf3
Osnovi programiranja,Vezbe,Paunovic Vanja,1s1,Sreda,12:15-15,Raf3
Organizacija racunara,Predavanja,Mirkovic Bogdan,1s1,Cetrvtak,8:15-11,Kolarac1
Engleski 1,Predavanja,Vrbica-Matejic Vera,1s1,Ponedeljak,09:15-11,Raf11
Osnovi programiranja,Predavanja,Mirkovic Bogdan,1s1,Cetrvtak,11:15-13,Kolarac1
Administracija i odrzavanje sistema 1,Predavanja,Lale Sinisa,1s2,Utorak,12:15-15,Raf3
Administracija i odrzavanje sistema 1,Vezbe,Lale Sinisa,1s2,Utorak,09:15-12,Raf3
Organizacija racunara,Vezbe,Stambolovic Bogdana,1s2,Sreda,15:15-18,Raf3
Praktikum iz arhitekture racunara i operativnih sistema,Praktikum,Stambolovic Bogdana,1s2,Sreda,19:15-21,Rg1
Osnovi programiranja,Vezbe,Sijacic Dusan,1s2,Ponedeljak,11:15-14,Raf7
Engleski 1,Predavanja,Vrbica-Matejic Vera,1s2,Petak,12:15-14,Raf11
Administracija i odrzavanje sistema 1,Predavanja,Kostadinovic Miodrag,1s3,Cetrvtak,13:15-16,Raf5
Administracija i odrzavanje sistema 1,Vezbe,Kostadinovic Miodrag,1s3,Utorak,11:15-14,Raf5
Organizacija racunara,Vezbe,Stambolovic Bogdana,1s3,Utorak,14:15-17,Raf5
Praktikum iz arhitekture racunara i operativnih sistema,Praktikum,Stambolovic Bogdana,1s3,Utorak,17:15-19,Rg1
Osnovi programiranja,Vezbe,Paunovic Vanja,1s3,Petak,09:15-12,Raf5
Dizajn softvera,Vezbe,MarkovicAna,201,Petak,16:15-18,Raf4
Algoritmi i strukture podataka,Vezbe,Mandic Dejana,201,Cetrvtak,14:15-16,Raf7
Inteligentni sistemi,Vezbe,Tomic Milan,201,Cetrvtak,16:15-18,Raf5
Dizajn softvera,Predavanja,Perisic Branko,201,Ponedeljak,14:15-17,Raf6
Inteligentni sistemi,Predavanja,Vasiljevic Jelena,201,Ponedeljak,17:15-20,Raf11
Algoritmi i strukture podataka,Predavanja,Urosevic Dragan,201,Petak,13:15-16,Raf6
Napredna matemaricka analiza,Predavanja,Filipovic Milanka,201,Sreda,09:15-11,Kolarac2
Napredna matemaricka analiza,Vezbe,Filipovic Milanka,201,Sreda,11:15-13,Kolarac2
Dizajn softvera,Vezbe,MarkovicAna,202,Petak,19:15-21,Raf7
Algoritmi i strukture podataka,Vezbe,Mandic Dejana,202,Petak,17:15-19,Raf7
Inteligentni sistemi,Vezbe,Tomic Milan,202,Ponedeljak,11:15-13,Raf3
Dizajn softvera,Vezbe,MarkovicAna,203,Ponedeljak,12:15-14,Raf5
Algoritmi i strukture podataka,Vezbe,Arsenijevic Ognjen,203,Cetrvtak,19:15-21,Raf5
Inteligentni sistemi,Vezbe,Ciganovic Igor,203,Cetrvtak,17:15-19,Raf3
Dizajn softvera,Predavanja,Perisic Branko,203,Ponedeljak,09:15-12,Raf6
Inteligentni sistemi,Predavanja,Vasiljevic Jelena,203,Petak,09:15-12,Raf11
